Suburb,Rooms,Type,SellerG,Bedrooms,Bathroom,Garage,Landsize,YearBuilt,CouncilArea,Regionname,Price
Abbotsford,2,h,Biggin,2,1,0,156,1900,Yarra,Northern Metropolitan,1035000
Abbotsford,3,h,Biggin,3,2,0,134,1900,Yarra,Northern Metropolitan,1465000
Abbotsford,4,h,Nelson,3,1,2,120,2014,Yarra,Northern Metropolitan,1600000
Abbotsford,3,h,Nelson,4,2,0,245,1910,Yarra,Northern Metropolitan,1876000
Abbotsford,2,h,Nelson,2,1,2,256,1890,Yarra,Northern Metropolitan,1636000
Abbotsford,2,h,Biggin,3,1,2,220,1900,Yarra,Northern Metropolitan,1097000
Abbotsford,3,h,Nelson,3,2,2,214,2005,Yarra,Northern Metropolitan,1350000
Abbotsford,2,h,Jellis,2,1,2,238,1890,Yarra,Northern Metropolitan,1310000
Abbotsford,3,h,Jellis,3,2,1,113,1880,Yarra,Northern Metropolitan,1200000
Abbotsford,3,h,LITTLE,2,1,1,138,1890,Yarra,Northern Metropolitan,1176500
Abbotsford,2,h,Biggin,2,1,1,150,1985,Yarra,Northern Metropolitan,890000
Abbotsford,4,h,Kay,4,2,2,780,1900,Yarra,Northern Metropolitan,1330000
Abbotsford,2,h,Biggin,2,2,1,124,2013,Yarra,Northern Metropolitan,1100000
Abbotsford,2,h,Marshall,2,1,0,147,1900,Yarra,Northern Metropolitan,1315000
Abbotsford,3,h,Nelson,3,3,1,166,2012,Yarra,Northern Metropolitan,1447500
Abbotsford,2,h,Nelson,2,2,2,98,1920,Yarra,Northern Metropolitan,1135000
Abbotsford,3,h,Biggin,3,1,1,168,1950,Yarra,Northern Metropolitan,1290000
Abbotsford,2,h,Jellis,2,1,0,162,1900,Yarra,Northern Metropolitan,1180000
Abbotsford,3,h,Jellis,3,2,1,120,1998,Yarra,Northern Metropolitan,1195000
Abbotsford,2,h,Nelson,2,1,0,182,1900,Yarra,Northern Metropolitan,1012500
Abbotsford,2,h,Biggin,2,1,1,172,1930,Yarra,Northern Metropolitan,1030000
Airport West,3,t,Nelson,3,2,1,303,2016,Moonee Valley,Western Metropolitan,840000
Airport West,2,h,Nelson,2,1,1,272,1950,Moonee Valley,Western Metropolitan,603000
Airport West,3,t,Brad,3,2,2,239,2009,Moonee Valley,Western Metropolitan,700000
Airport West,3,h,Maddison,2,1,1,290,1980,Moonee Valley,Western Metropolitan,600000
